ACHID	DRUG_ID	CCLE Cell Line Name	Primary Cell Line Name	Compound	Target	Doses (uM)	Activity Data	Activity Error (SD)	FitType	EC50 (µM)	IC50 (µM)	Amax	ActArea
ACH-001000	1026	1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-58,-7.5,-1.7,7.04,-58,-70,-73,-73"	"43.3,11.5,3.65,2.85,.28,.18,3.31,.64"	Sigmoid	0.193676725	0.22807844	-72.12380981	3.412
ACH-000956	1026	22RV1_PROSTATE	22Rv1	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-5.9,-14,-.068,-15,-38,-71,-74,-80"	".35,8.56,.53,21.6,1.08,1.37,3.71,2.17"	Sigmoid	0.267214537	0.329701692	-76.30148315	2.97968
ACH-000323	1026	42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-4.2,-62,-19,-72,-69,-84,-78,-91"	"19.1,42.8,13.5,6.12,7.84,16.9,5.98,7.26"	Sigmoid	0.052080587	0.053038094	-80.37766266	4.792
ACH-000905	1026	5637_URINARY_TRACT	5637	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"3.24,-2.6,9.10,-35,-87,-91,-91,-92"	"5.69,14.8,29.2,30.4,5.11,.39,1.98,.041"	Sigmoid	0.060907152	0.07082279	-91.65148163	3.986
ACH-000973	1026	639V_URINARY_TRACT	639-V	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-10,-14,-1.2,-23,-74,-87,-90,-91"	"6.48,.16,2.77,2.31,4.07,1.69,.035,.036"	Sigmoid	0.147929892	0.150094494	-89.6390686	3.902
ACH-000070	1026	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-13,-1.1,17.2,7.23,-24,-77,-91,-92"	"11.4,20.7,2.72,12.3,25.4,.66,.83,1.75"	Sigmoid	0.378334939	0.422571242	-91.79781342	2.981
ACH-000411	1026	769P_KIDNEY	769-P	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-14,-6.7,-9.8,-18,-68,-61,-76,-74"	"8.12,.81,24.1,6.79,6.45,9.98,1.09,4.92"	Sigmoid	0.12979719	0.1517988	-72.46472168	3.275
ACH-000649	1026	786O_KIDNEY	786-O	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-16,-1.3,-14,-10,-35,-87,-95,-95"	"9.48,2.82,9.76,4.89,15.1,2.00,.78,1.19"	Sigmoid	0.280528814	0.279530227	-95.40687561	3.533
ACH-001306	1026	8305C_THYROID	8305C	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-11,-32,1.03,-14,-40,-62,-68,-74"	"7.20,.47,5.92,4.13,.42,1.60,.059,7.40"	Sigmoid	0.244567513	0.375401258	-70.98512268	3.01
ACH-001307	1026	8505C_THYROID	8505C	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.4,-1.7,-10,-12,-48,-79,-91,-93"	"7.20,14.2,.22,9.86,7.81,3.18,.10,1.29"	Sigmoid	0.28396824	0.282174945	-92.78522491	3.441
ACH-000137	1026	8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-38,-15,-1.6,-.52,-57,-79,-83,-80"	"30.2,13.9,.88,15.4,2.15,.092,3.45,4.57"	Sigmoid	0.218940899	0.234952629	-80.62458801	3.5412
ACH-000558	1026	A172_CENTRAL_NERVOUS_SYSTEM	A172	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-4.1,-3.6,-8.3,-13,-49,-67,-67,-71"	"2.33,.79,1.76,4.40,3.10,2.19,1.71,2.43"	Sigmoid	0.179407626	0.267498583	-68.93263245	2.83
ACH-000201	1026	A204_SOFT_TISSUE	A-204	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-9.6,-18,-57,-65,-78,-79,-80,-82"	"3.09,13.0,29.2,.95,1.03,.47,2.69,1.20"	Sigmoid	0.01808529	0.029675882	-81.44564056	4.686
ACH-000788	1026	A2058_SKIN	A2058	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-20,-15,-29,-73,-83,-83,-80,-81"	"5.93,1.32,7.27,5.92,.24,.11,.44,1.69"	Sigmoid	0.041432258	0.042496935	-81.66654205	4.64
ACH-000740	1026	A253_SALIVARY_GLAND	A-253	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-26,-27,-8.8,-10,-43,-73,-85,-88"	"13.1,4.27,1.40,2.63,3.10,2.52,2.02,1.38"	Sigmoid	0.343221009	0.339544863	-86.33873749	3.608
ACH-000657	1026	A2780_OVARY	A2780	17-AAG	HSP90	".0025,.0080,.025,.080,.25,.80,2.53,8"	"-14,-5.1,-27,-68,-88,-92,-92,-92"	"14.8,3.28,18.7,20.4,6.86,3.44,2.85,1.07"	Sigmoid	0.030796837	0.031109899	-93.63037109	4.781
