"COSMIC_ID"	"DRUG_ID"	"AUC"
909697	179	0.591947
910924	179	0.605904
910906	179	0.59063
907047	179	0.644505
1330987	179	0.588204
753610	179	0.501858
949093	179	0.734388
905964	179	0.373599
910710	179	0.42364
1331036	179	0.698069
907277	179	0.619717
910546	179	0.349039
910545	179	0.541848
1503366	179	0.545558
1240140	179	0.686491
908135	179	0.450833
909703	179	0.497087
907056	179	0.645133
907318	179	0.555539
1297449	179	0.538743
687812	179	0.715115
908159	179	0.647407
753612	179	0.599326
753594	179	0.618154
907391	179	0.724501
1240200	179	0.657782
949155	179	0.520393
917486	179	0.599545
907269	179	0.61745
910930	179	0.376884
1297446	179	0.671147
908443	179	0.592803
907795	179	0.504944
905961	179	0.642336
1331044	179	0.366497
1330933	179	0.511416
909702	179	0.627837
909698	179	0.591549
1331048	179	0.552329
946361	179	0.528918
1330984	179	0.569051
684057	179	0.679705
910554	179	0.702971
908148	179	0.503676
907069	179	0.652605
907786	179	0.666931
907791	179	0.903642
949179	179	0.902189
909777	179	0.812515
1331038	179	0.799243
909700	179	0.836015
687459	179	0.93748
907066	179	0.98558
1240142	179	0.741985
909774	179	0.925082
907792	179	0.959722
907313	179	0.887742
1298159	179	0.986921
908469	179	0.862185
906838	179	0.954834
906868	179	0.809045
907271	179	0.846927
724859	179	0.764026
906798	179	0.953706
1240167	179	0.921555
906828	179	0.898985
907788	179	0.757664
1290905	179	0.97693
753536	179	0.965424
713880	179	0.919662
908470	179	0.890122
905975	179	0.90188
909904	179	0.926317
909744	179	0.987661
724834	179	0.853844
1322213	179	0.893113
909761	179	0.812191
906823	179	0.987459
909707	179	0.981275
1298537	179	0.9713
909724	179	0.909555
753551	179	0.91038
905934	179	0.761508
908457	179	0.815563
687799	179	0.801274
1298350	179	0.956948
910781	179	0.978479
906863	179	0.959663
724874	179	0.983725
905969	179	0.827805
1480374	179	0.955672
907312	179	0.982126
753588	179	0.833682
1298538	179	0.898071
906839	179	0.940854
910932	179	0.945274
907289	179	0.980116
1298146	179	0.984363
1298347	179	0.987413
749710	179	0.979723
1240131	179	0.920718
905948	179	0.960391
1240130	179	0.986353
713899	179	0.923786
910952	179	0.984516
687590	179	0.879388
908482	179	0.807299
1298162	179	0.997381
906808	179	0.966076
687798	179	0.974456
949176	179	0.874042
910927	179	0.924611
1330935	179	0.951613
1240170	179	0.893027
684681	179	0.961051
1674021	179	0.867391
910915	179	0.977746
905971	179	0.744429
687802	179	0.969919
1240217	179	0.782828
949154	179	0.95942
1480372	179	0.956184
906834	179	0.915544
1327768	179	0.851478
724879	179	0.869368
908462	179	0.954969
687505	179	0.758396
1240150	179	0.980409
1479987	179	0.766624
1503369	179	0.858792
753570	179	0.959198
753564	179	0.749
909754	179	0.982407
907295	179	0.985911
688087	179	0.970442
906817	179	0.973929
906843	179	0.954592
687815	179	0.902462
906877	179	0.813532
909708	179	0.816939
749711	179	0.952704
909759	179	0.83431
687596	179	0.920629
1298365	179	0.887551
753533	179	0.943992
753608	179	0.814838
905974	179	0.902659
684052	179	0.968647
1240132	179	0.852545
687457	179	0.97628
753621	179	0.931654
1330941	179	0.976813
910910	179	0.959601
724831	179	0.911564
1240166	179	0.977754
1299062	179	0.896435
1480360	179	0.905248
688086	179	0.778131
753576	179	0.91194
1240127	179	0.855834
753573	179	0.982521
946353	179	0.913
1299064	179	0.960228
905959	179	0.804439
1240141	179	0.971462
1298134	179	0.941885
724873	179	0.926149
1503361	179	0.763973
1240202	179	0.800022
925347	179	0.855992
687588	179	0.985767
1290806	179	0.973934
906832	179	0.832643
1330991	179	0.868605
907169	179	0.753582
907284	179	0.970025
1299074	179	0.903315
906797	179	0.850593
688018	179	0.91207
909713	179	0.949832
1330965	179	0.847411
687983	179	0.969635
753575	179	0.943739
1298533	179	0.959871
1290765	179	0.908226
905983	179	0.821675
909260	179	0.802273
906792	179	0.988125
1330985	179	0.76377
1303900	179	0.931187
905970	179	0.968912
906763	179	0.902921
